keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'hail crop damage',-0.012954545454545463,1.0,0.4518181818181818,1.0,1.0
'hail hailstorm',0.7497358027146018,1.0,-1.7135169167395647,1.0,1.0
'hail roof damage',0.1742424242424242,1.0,0.553030303030303,1.0,1.0
'hailstorm',0.07997610005854155,0.5031171699291592,0.14986020946526782,0.5897134724074888,4.0
'large hail',-0.42802465412395735,0.9223506785630449,0.55306777991911,0.13335553747186438,3.0
'thunderstorm early warning',0.41332972536960855,0.4154634966503529,-0.06607142811131106,0.9065608902796244,2.0
'thunderstorm flooding',0.053906249999999996,0.04087961078734728,0.5958333333333333,0.04714045207910316,2.0
'thunderstorm lightning',-0.0320776137999671,0.4631698078187282,0.19325325368287785,0.7293556751979224,14.0
'thunderstorm power outages',0.048939393939393935,1.0,0.4792424242424243,1.0,1.0
'thunderstorm tornado',-0.10815834215318909,0.6825862620945403,0.27671383536715494,0.35773403022008193,7.0
'thunderstorm wind damage',0.8483965347421436,1.339638111798635,0.9282209961137202,0.2522340634281249,2.0
'thunderstorm wind shear',-0.7071067811865476,1.0,0.7071067811865476,1.0,1.0
